Key,en,es,ar,fr,hi
Languages,Languages,Idiomas,اللغات,Langues,बोली
Language,Language,Idioma,لغة,Langue,भाषा
Information,Information,Información,معلومة,Information,जानकारी
Language Information,Language Information,Información del idioma,معلومات اللغة,Informations linguistiques,भाषा की जानकारी
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Responsable linguistique,भाषा प्रबंधक
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !,भाषा सफलतापूर्वक बनाई गई!
Super Admin,Super Admin,Superadministrador,المشرف الأعلى,Super administrateur,सुपर एडमिन
DEFAULT,DEFAULT,POR DEFECTO,تقصير,DÉFAUT,गलती करना
Setup Currency,Setup Currency,Configurar moneda,إعداد العملة,Configuration de la devise,सेटअप मुद्रा
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والتكاليف,Frais et charges,शुल्क और प्रभार
TRANSACTIONS & LOGS,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux,लेनदेन और लॉग
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent,धन लॉग जोड़ें
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux,सभी लॉग
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال,Journaux de sorties d'argent,मनी आउट लॉग्स
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente,लंबित लॉग
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés,पूर्ण लॉग
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés,रद्द किए गए लॉग
User Care,User Care,Atención al usuario,رعاية المستخدم,Service utilisateur,उपयोगकर्ता देखभाल
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Utilisateurs actifs,सक्रिय उपयोगकर्ता
All Users,All Users,Todos los usuarios,جميع المستخدمين,Tous les utilisateurs,सभी उपयोगकर्ता
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Courriel aux utilisateurs,उपयोगकर्ताओं को ईमेल
Banned Users,Banned Users,Usuarios baneados,المستخدمون المحظورون,Utilisateurs bannis,प्रतिबंधित उपयोगकर्ता
Agent Care,Agent Care,Atención al agente,رعاية الوكيل,Agent Care,एजेंट केयर
Active Agents,Active Agents,Agentes activos,العوامل الفعالة,Agents actifs,सक्रिय एजेंट
Email unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير مؤكد,E-mail non vérifié,ईमेल असत्यापित
KYC Unverified,KYC Unverified,KYC sin verificar,KYC غير مُتحقق,KYC non vérifié,केवाईसी असत्यापित
All Agents,All Agents,Todos los agentes,جميع الوكلاء,Tous les agents,सभी एजेंट
Email To Agents,Email To Agents,Correo electrónico a los agentes,البريد الإلكتروني إلى الوكلاء,Courriel aux agents,एजेंटों को ईमेल करें
